,all_businesses,food,nightlife,shopping,fitness,selfcare,auto,home,health,geoid,population_total,population_total_male,population_total_female,population_total_under_18,population_total_18_to_65,population_total_65_and_over,population_male_under_18,population_female_under_18,population_male_18_to_64,population_female_18_to_64,population_male_65_and_over,population_female_65_and_over,population_total_white,population_total_non_white,median_income,area_mi2,population_density,food_predicted,food_error,auto_predicted,auto_error,nightlife_predicted,nightlife_error,shopping_predicted,shopping_error,fitness_predicted,fitness_error,selfcare_predicted,selfcare_error,home_predicted,home_error,health_predicted,health_error,geographic_area_name
2440,9,2,1,3,3,0,1,2,1,42003210700,1994,991,1003,339,1303,352,108,231,655,648,228,124,583,1467,26739,0.27913255600000003,7143.559432999999,6.47,4.47,2.57,1.57,1.4380000000000002,0.43799999999999994,0.111,-2.889,0.611,-2.3890000000000002,1.754,1.754,3.2260000000000004,1.226,-0.10400000000000001,-1.104,"Census Tract 2107, Allegheny County, Pennsylvania"
2441,29,18,6,2,2,1,3,1,2,42003220600,1657,903,754,144,1206,307,71,73,694,512,138,169,1076,623,38750,0.166090338,9976.498468000002,10.845999999999998,-7.154,-0.21899999999999997,-3.219,9.601,3.6010000000000004,6.063,4.063,1.91,-0.09,4.684,3.6839999999999997,3.8960000000000004,2.8960000000000004,0.20199999999999999,-1.798,"Census Tract 2206, Allegheny County, Pennsylvania"
2442,22,9,3,1,3,2,2,6,2,42003240600,2136,1036,1100,167,1663,306,105,62,837,826,94,212,1815,485,31662,0.468863156,4555.700254,10.442,1.442,3.897,1.8969999999999998,2.281,-0.7190000000000001,4.105,3.105,2.156,-0.8440000000000001,2.583,0.583,3.325,-2.675,2.725,0.725,"Census Tract 2406, Allegheny County, Pennsylvania"
2443,5,4,1,0,0,0,0,1,0,42003241200,776,415,361,99,542,135,73,26,288,254,54,81,697,93,19408,0.266684236,2909.808289,3.654,-0.34600000000000003,1.624,1.624,0.835,-0.165,0.384,0.384,0.5670000000000001,0.5670000000000001,-0.669,-0.669,-1.27,-2.27,-1.31,-1.31,"Census Tract 2412, Allegheny County, Pennsylvania"
2444,10,4,2,2,0,1,1,0,0,42003250300,1076,577,499,151,766,159,97,54,422,344,58,101,657,426,32179,0.09360892400000001,11494.63058,5.6979999999999995,1.6980000000000002,-0.149,-1.149,1.564,-0.436,0.8220000000000001,-1.178,-0.19699999999999998,-0.19699999999999998,1.5230000000000001,0.523,0.843,0.843,-0.797,-0.797,"Census Tract 2503, Allegheny County, Pennsylvania"
2445,4,1,1,1,1,0,1,1,0,42003250700,608,305,303,168,364,76,113,55,166,198,26,50,146,482,20500,0.216267016,2811.3394789999998,3.303,2.303,2.169,1.169,0.06,-0.94,0.83,-0.17,0.612,-0.38799999999999996,-0.413,-0.413,0.177,-0.823,-1.055,-1.055,"Census Tract 2507, Allegheny County, Pennsylvania"
2446,1,0,0,0,0,0,0,0,0,42003250900,1060,550,510,196,715,149,95,101,362,353,93,56,399,682,22063,0.248510407,4265.414925,2.464,2.464,1.192,1.192,-0.63,-0.63,-1.54,-1.54,0.105,0.105,-0.33,-0.33,-0.569,-0.569,-1.412,-1.412,"Census Tract 2509, Allegheny County, Pennsylvania"
2447,6,2,1,1,0,0,0,1,0,42003260200,1949,1036,913,286,1410,253,210,76,716,694,110,143,1332,716,29481,0.553660843,3520.2056009999997,5.349,3.3489999999999998,0.7959999999999999,0.7959999999999999,-1.331,-2.331,-0.309,-1.3090000000000002,0.6759999999999999,0.6759999999999999,0.08900000000000001,0.08900000000000001,-0.049,-1.0490000000000002,-0.7090000000000001,-0.7090000000000001,"Census Tract 2602, Allegheny County, Pennsylvania"
2448,1,0,0,1,0,1,0,0,0,42003260700,1562,769,793,279,1093,190,125,154,561,532,83,107,993,647,33333,0.259208526,6026.036354,3.717,3.717,0.016,0.016,-1.224,-1.224,-0.919,-1.919,0.09699999999999999,0.09699999999999999,0.42100000000000004,-0.579,0.284,0.284,0.005,0.005,"Census Tract 2607, Allegheny County, Pennsylvania"
2449,3,1,0,0,0,0,0,2,0,42003261400,2069,1082,987,417,1221,431,223,194,697,524,162,269,617,1470,23929,0.46784075799999997,4422.444958,3.9389999999999996,2.9389999999999996,1.849,1.849,-1.435,-1.435,-0.318,-0.318,0.34600000000000003,0.34600000000000003,-0.382,-0.382,-0.8690000000000001,-2.8689999999999998,-0.938,-0.938,"Census Tract 2614, Allegheny County, Pennsylvania"
2450,3,0,1,0,0,0,0,1,0,42003261500,1661,942,719,443,999,219,382,61,470,529,90,129,557,1134,23972,0.438584253,3787.1856770000004,3.821,3.821,1.7009999999999998,1.7009999999999998,-1.695,-2.695,0.341,0.341,0.506,0.506,-0.19399999999999998,-0.19399999999999998,-1.374,-2.374,-1.681,-1.681,"Census Tract 2615, Allegheny County, Pennsylvania"
2451,2,0,1,1,0,0,0,1,0,42003262000,2539,1251,1288,451,1573,515,278,173,750,823,223,292,1609,1131,25910,0.636236511,3990.6543469999997,5.443,5.443,1.113,1.113,-2.592,-3.592,-0.581,-1.581,0.32299999999999995,0.32299999999999995,-0.107,-0.107,-0.461,-1.4609999999999999,-0.737,-0.737,"Census Tract 2620, Allegheny County, Pennsylvania"
2452,21,8,3,2,4,0,2,5,0,42003270100,2681,1144,1537,655,1705,321,276,379,722,983,146,175,2065,678,35781,0.40146709399999997,6678.006840999999,8.501,0.501,3.448,1.4480000000000002,3.3739999999999997,0.374,4.433,2.4330000000000003,2.01,-1.99,2.966,2.966,4.051,-0.9490000000000001,0.815,0.815,"Census Tract 2701, Allegheny County, Pennsylvania"
2453,1,0,1,0,0,0,0,0,0,42003270300,2038,983,1055,406,1220,412,205,201,612,608,166,246,1106,1087,27197,0.228997962,8899.642505,3.998,3.998,0.191,0.191,-1.594,-2.594,-0.757,-0.757,-0.248,-0.248,0.43700000000000006,0.43700000000000006,-0.26,-0.26,-0.46,-0.46,"Census Tract 2703, Allegheny County, Pennsylvania"
