,all_businesses,food,nightlife,shopping,fitness,selfcare,auto,home,health,geoid,population_total,population_total_male,population_total_female,population_total_under_18,population_total_18_to_65,population_total_65_and_over,population_male_under_18,population_female_under_18,population_male_18_to_64,population_female_18_to_64,population_male_65_and_over,population_female_65_and_over,population_total_white,population_total_non_white,median_income,area_mi2,population_density,food_predicted,food_error,auto_predicted,auto_error,nightlife_predicted,nightlife_error,shopping_predicted,shopping_error,fitness_predicted,fitness_error,selfcare_predicted,selfcare_error,home_predicted,home_error,health_predicted,health_error,geographic_area_name
1135,100,36,9,19,9,13,10,15,10,32003003418,3984,1826,2158,1263,2504,217,546,717,1169,1335,111,106,1984,2276,27102,0.45781021,8702.296094,21.838,-14.162,12.66,2.66,21.34,12.34,22.101,3.1010000000000004,7.435,-1.565,11.724,-1.276,15.034,0.034,13.097000000000001,3.097,"Census Tract 34.18, Clark County, Nevada"
1136,123,46,14,45,6,11,7,24,8,32003003419,6811,4038,2773,2187,4043,581,1614,573,2086,1957,338,243,3281,3867,25603,0.584333957,11656.00582,35.851,-10.149,17.644000000000002,10.644,17.045,3.045,23.01,-21.99,8.729,2.7289999999999996,13.363,2.363,12.569,-11.431,6.8229999999999995,-1.177,"Census Tract 34.19, Clark County, Nevada"
1137,35,15,6,8,1,4,5,5,1,32003003420,3114,1546,1568,559,2115,440,330,229,1030,1085,186,254,1884,1380,22786,0.505009268,6166.223467,13.144,-1.8559999999999999,4.105,-0.895,6.01,0.01,7.44,-0.56,1.999,0.9990000000000001,2.947,-1.053,4.71,-0.29,2.9539999999999997,1.954,"Census Tract 34.20, Clark County, Nevada"
1138,165,55,22,31,11,28,20,25,25,32003003421,3740,1859,1881,1027,2282,431,572,455,1072,1210,215,216,1951,2320,30072,0.446427532,8377.619506000001,38.871,-16.129,19.511,-0.489,30.831,8.831,37.338,6.337999999999999,12.899000000000001,1.899,21.361,-6.638999999999999,22.775,-2.225,22.846,-2.154,"Census Tract 34.21, Clark County, Nevada"
1139,40,19,4,10,4,8,3,3,3,32003003422,5765,2894,2871,1445,3623,697,723,722,1866,1757,305,392,3530,2589,24457,0.578188755,9970.79233,14.446,-4.553999999999999,4.7860000000000005,1.786,11.228,7.228,8.236,-1.764,1.6159999999999999,-2.384,4.64,-3.36,6.291,3.2910000000000004,8.18,5.18,"Census Tract 34.22, Clark County, Nevada"
1140,45,12,3,3,1,0,15,6,0,32003003423,6658,3312,3346,1967,4048,643,958,1009,2067,1981,287,356,2834,4123,25346,0.76271354,8729.358601,7.6770000000000005,-4.323,4.018,-10.982000000000001,1.837,-1.163,8.757,5.757000000000001,3.89,2.89,2.842,2.842,12.366,6.3660000000000005,-0.073,-0.073,"Census Tract 34.23, Clark County, Nevada"
1141,13,1,0,4,0,1,5,4,0,32003003426,3183,1825,1358,657,1883,643,380,277,1132,751,313,330,1804,1528,24738,0.481855494,6605.714868,5.272,4.272,3.4389999999999996,-1.561,-1.916,-1.916,0.6809999999999999,-3.319,0.672,0.672,0.297,-0.703,4.649,0.649,0.667,0.667,"Census Tract 34.26, Clark County, Nevada"
1142,43,9,5,6,2,1,15,10,0,32003003427,4477,2185,2292,1220,2703,554,590,630,1303,1400,292,262,2751,1867,24147,0.464159274,9645.395997,9.507,0.507,6.5520000000000005,-8.448,0.8170000000000001,-4.183,10.191,4.191,3.5980000000000003,1.598,2.937,1.9369999999999998,12.65,2.65,0.664,0.664,"Census Tract 34.27, Clark County, Nevada"
1143,23,0,0,5,1,0,12,7,0,32003003428,2119,1101,1018,627,1310,182,325,302,679,631,97,85,1217,1012,23105,0.256043646,8275.932754000001,2.763,2.763,5.409,-6.591,-2.7239999999999998,-2.7239999999999998,5.204,0.204,1.986,0.986,1.324,1.324,10.141,3.141,0.374,0.374,"Census Tract 34.28, Clark County, Nevada"
1144,36,7,4,5,2,4,6,11,1,32003003429,5576,2762,2814,1463,3321,792,739,724,1677,1644,346,446,2731,3033,23164,0.5801219679999999,9611.771845000001,11.875,4.875,7.426,1.426,-0.213,-4.213,6.9670000000000005,1.9669999999999999,2.7510000000000003,0.7509999999999999,2.5380000000000003,-1.462,5.907,-5.093,3.2289999999999996,2.229,"Census Tract 34.29, Clark County, Nevada"
1145,2,0,0,0,0,0,0,1,0,32003003430,2605,1120,1485,625,1521,459,273,352,706,815,141,318,1033,1667,20982,0.24808878399999998,10500.27317,3.5789999999999997,3.5789999999999997,1.493,1.493,-1.92,-1.92,-0.18100000000000002,-0.18100000000000002,-1.102,-1.102,0.084,0.084,0.252,-0.748,1.38,1.38,"Census Tract 34.30, Clark County, Nevada"
1146,2,1,0,1,0,0,0,1,0,32003003431,3267,1589,1678,1318,1835,114,704,614,815,1020,70,44,895,2517,22535,0.289273915,11293.79399,1.4069999999999998,0.40700000000000003,1.5630000000000002,1.5630000000000002,0.10800000000000001,0.10800000000000001,0.009000000000000001,-0.991,-1.136,-1.136,0.49,0.49,0.785,-0.215,-0.265,-0.265,"Census Tract 34.31, Clark County, Nevada"
1147,8,6,2,0,1,1,0,0,0,32003003500,3365,1629,1736,1176,1853,336,614,562,835,1018,180,156,824,2644,20799,0.37976545,8860.732329999999,4.007,-1.993,1.518,1.518,3.824,1.824,2.119,2.119,-0.522,-1.5219999999999998,0.772,-0.228,0.675,0.675,0.8290000000000001,0.8290000000000001,"Census Tract 35, Clark County, Nevada"
1148,25,8,1,4,0,4,3,6,2,32003003607,8119,3861,4258,2447,5235,437,1272,1175,2399,2836,190,247,4990,3619,32620,0.980613768,8279.508472,9.863,1.8630000000000002,3.591,0.591,-2.055,-3.055,4.669,0.669,1.5330000000000001,1.5330000000000001,2.306,-1.694,4.152,-1.848,3.721,1.7209999999999999,"Census Tract 36.07, Clark County, Nevada"
1149,84,23,11,15,7,18,22,7,9,32003003609,5088,2462,2626,1103,3211,774,468,635,1629,1582,365,409,3212,2325,29994,1.0304383209999999,4937.704563,22.905,-0.095,8.01,-13.99,12.337,1.337,21.706,6.706,7.632999999999999,0.633,10.533,-7.4670000000000005,21.524,14.524000000000001,14.421,5.421,"Census Tract 36.09, Clark County, Nevada"
1150,91,19,3,19,3,16,14,12,19,32003003610,5776,2914,2862,1482,3578,716,843,639,1714,1864,357,359,3777,2246,34098,1.0437600040000001,5533.8391759999995,16.988,-2.012,10.181000000000001,-3.819,4.57,1.57,15.052,-3.948,7.715,4.715,11.625,-4.375,14.72,2.72,12.333,-6.667000000000001,"Census Tract 36.10, Clark County, Nevada"
1151,18,1,1,0,0,0,1,10,3,32003003612,8308,4128,4180,2101,4875,1332,1159,942,2351,2524,618,714,5069,3866,28244,1.05300522,7889.799443999999,8.572000000000001,7.572,5.584,4.584,-7.66,-8.66,0.835,0.835,1.212,1.212,1.54,1.54,1.723,-8.277000000000001,1.885,-1.115,"Census Tract 36.12, Clark County, Nevada"
1152,27,4,2,4,2,0,4,13,1,32003003613,7189,3442,3747,2010,4522,657,881,1129,2239,2283,322,335,3938,3537,27401,1.0061826109999998,7144.826316,10.056000000000001,6.056,7.585,3.585,-3.301,-5.301,3.264,-0.736,2.13,0.13,1.97,1.97,5.5729999999999995,-7.4270000000000005,1.584,0.584,"Census Tract 36.13, Clark County, Nevada"
1153,41,20,9,7,4,1,8,4,1,32003003615,2697,1233,1464,758,1678,261,386,372,731,947,116,145,1244,1682,26118,0.9915454779999999,2719.996267,13.129000000000001,-6.871,4.1339999999999995,-3.866,11.125,2.125,11.492,4.492,2.964,-1.036,4.399,3.3989999999999996,8.315,4.315,2.135,1.135,"Census Tract 36.15, Clark County, Nevada"
